,probability,cost,solution,count
15,0.0107421875,10.0,"[1, 0, 0, 1, 1, 0, 1, 0]",22
20,0.01025390625,10.0,"[1, 0, 0, 1, 1, 0, 0, 1]",21
21,0.01025390625,10.0,"[0, 0, 1, 1, 0, 1, 0, 1]",21
22,0.01025390625,10.0,"[1, 0, 1, 0, 0, 1, 1, 0]",21
25,0.009765625,10.0,"[0, 0, 1, 0, 0, 1, 1, 1]",20
28,0.00927734375,10.0,"[1, 0, 1, 1, 0, 0, 1, 0]",19
29,0.00927734375,10.0,"[1, 1, 0, 0, 0, 1, 1, 0]",19
99,0.00390625,10.0,"[1, 1, 0, 1, 0, 1, 0, 0]",8
38,0.0078125,10.0,"[1, 0, 0, 0, 1, 0, 1, 1]",16
44,0.00732421875,10.0,"[1, 0, 1, 0, 0, 1, 0, 1]",15
57,0.00634765625,10.0,"[1, 0, 0, 1, 0, 1, 1, 0]",13
60,0.005859375,10.0,"[0, 1, 0, 1, 0, 0, 1, 1]",12
32,0.0087890625,10.0,"[1, 0, 1, 0, 0, 0, 1, 1]",18
107,0.00390625,11.0,"[0, 1, 1, 1, 1, 1, 0, 0]",8
122,0.00341796875,11.0,"[0, 1, 0, 0, 0, 1, 0, 1]",7
147,0.001953125,11.0,"[1, 1, 1, 1, 0, 0, 1, 0]",4
176,0.0009765625,11.0,"[0, 1, 0, 1, 1, 1, 1, 0]",2
142,0.00244140625,11.0,"[0, 1, 1, 1, 1, 0, 1, 0]",5
141,0.00244140625,11.0,"[0, 1, 1, 1, 1, 0, 0, 1]",5
103,0.00390625,11.0,"[1, 1, 1, 0, 1, 1, 0, 0]",8
116,0.00341796875,11.0,"[0, 1, 1, 0, 1, 0, 1, 1]",7
131,0.0029296875,11.0,"[1, 1, 0, 0, 0, 0, 0, 1]",6
0,0.01708984375,11.0,"[1, 0, 0, 1, 0, 0, 0, 1]",35
65,0.005859375,11.0,"[0, 0, 1, 0, 1, 1, 1, 1]",12
16,0.0107421875,11.0,"[0, 1, 1, 0, 1, 1, 0, 1]",22
76,0.00537109375,11.0,"[0, 0, 0, 1, 1, 1, 1, 1]",11
24,0.009765625,11.0,"[0, 0, 1, 1, 1, 1, 0, 1]",20
73,0.00537109375,11.0,"[0, 1, 1, 0, 1, 1, 1, 0]",11
1,0.0166015625,11.0,"[1, 0, 0, 0, 0, 0, 1, 1]",34
40,0.00732421875,11.0,"[1, 1, 1, 0, 1, 0, 0, 1]",15
50,0.0068359375,11.0,"[1, 1, 1, 1, 1, 0, 0, 0]",14
89,0.00439453125,11.0,"[1, 0, 0, 0, 0, 1, 0, 1]",9
43,0.00732421875,11.0,"[1, 0, 1, 0, 1, 1, 0, 1]",15
35,0.0078125,11.0,"[1, 1, 1, 0, 1, 0, 1, 0]",16
53,0.00634765625,12.0,"[0, 1, 1, 0, 0, 0, 1, 1]",13
33,0.0087890625,12.0,"[0, 1, 0, 0, 1, 0, 1, 1]",18
63,0.005859375,12.0,"[1, 0, 0, 1, 1, 1, 0, 0]",12
30,0.00927734375,12.0,"[0, 1, 0, 1, 0, 1, 1, 0]",19
26,0.00927734375,12.0,"[0, 1, 0, 1, 1, 0, 0, 1]",19
127,0.0029296875,12.0,"[1, 0, 1, 1, 1, 0, 0, 0]",6
48,0.0068359375,12.0,"[0, 1, 1, 1, 0, 0, 0, 1]",14
23,0.009765625,12.0,"[0, 0, 1, 1, 1, 0, 1, 0]",20
72,0.00537109375,12.0,"[0, 0, 0, 1, 1, 0, 1, 1]",11
97,0.00390625,12.0,"[1, 1, 0, 1, 0, 0, 1, 0]",8
39,0.0078125,12.0,"[1, 0, 0, 0, 1, 1, 1, 0]",16
75,0.00537109375,12.0,"[1, 0, 1, 0, 1, 0, 1, 0]",11
96,0.00439453125,12.0,"[1, 1, 0, 0, 1, 0, 1, 0]",9
84,0.00439453125,12.0,"[0, 1, 1, 1, 0, 1, 0, 0]",9
169,0.00146484375,12.0,"[1, 1, 0, 0, 1, 1, 0, 0]",3
80,0.0048828125,12.0,"[1, 1, 0, 1, 1, 0, 0, 0]",10
3,0.01513671875,12.0,"[1, 0, 0, 0, 1, 1, 0, 1]",31
120,0.00341796875,12.0,"[1, 1, 1, 0, 0, 1, 0, 0]",7
4,0.01513671875,12.0,"[1, 1, 1, 0, 0, 0, 0, 1]",31
17,0.0107421875,12.0,"[0, 1, 0, 0, 1, 1, 0, 1]",22
78,0.00537109375,12.0,"[0, 1, 1, 0, 0, 1, 1, 0]",11
5,0.01318359375,13.0,"[1, 0, 0, 1, 0, 1, 0, 0]",27
68,0.00537109375,13.0,"[0, 1, 0, 0, 0, 0, 1, 1]",11
31,0.0087890625,13.0,"[1, 0, 0, 0, 0, 1, 1, 0]",18
148,0.001953125,13.0,"[0, 0, 0, 0, 0, 1, 1, 1]",4
6,0.01318359375,13.0,"[1, 1, 0, 0, 0, 1, 0, 0]",27
7,0.01318359375,13.0,"[1, 0, 0, 1, 0, 0, 1, 0]",27
19,0.01025390625,13.0,"[0, 0, 0, 1, 0, 0, 1, 1]",21
102,0.00390625,13.0,"[0, 1, 0, 1, 0, 0, 0, 1]",8
121,0.00341796875,13.0,"[0, 0, 0, 1, 0, 1, 0, 1]",7
164,0.00146484375,14.0,"[1, 0, 1, 0, 1, 1, 0, 0]",3
133,0.0029296875,14.0,"[1, 0, 1, 0, 1, 0, 0, 1]",6
135,0.0029296875,14.0,"[0, 0, 1, 1, 1, 1, 0, 0]",6
88,0.00439453125,14.0,"[1, 1, 1, 0, 0, 0, 1, 0]",9
82,0.00439453125,14.0,"[1, 1, 1, 1, 0, 0, 0, 0]",9
110,0.00341796875,14.0,"[0, 0, 0, 1, 1, 1, 1, 0]",7
79,0.0048828125,14.0,"[0, 0, 1, 0, 1, 0, 1, 1]",10
112,0.00341796875,14.0,"[0, 0, 1, 1, 1, 0, 0, 1]",7
77,0.00537109375,14.0,"[0, 0, 0, 1, 1, 1, 0, 1]",11
118,0.00341796875,14.0,"[0, 0, 1, 0, 1, 1, 1, 0]",7
83,0.00439453125,14.0,"[0, 1, 1, 1, 0, 0, 1, 0]",9
69,0.00537109375,14.0,"[0, 1, 0, 0, 1, 1, 1, 0]",11
126,0.0029296875,14.0,"[0, 1, 0, 1, 1, 1, 0, 0]",6
128,0.0029296875,14.0,"[0, 0, 0, 0, 1, 1, 1, 1]",6
70,0.00537109375,14.0,"[0, 1, 0, 1, 1, 0, 1, 0]",11
221,0.00048828125,15.0,"[0, 0, 1, 0, 0, 1, 0, 1]",1
184,0.0009765625,15.0,"[0, 0, 1, 1, 0, 0, 1, 0]",2
195,0.00048828125,15.0,"[0, 0, 1, 0, 0, 0, 1, 1]",1
171,0.00146484375,15.0,"[0, 0, 1, 1, 0, 0, 0, 1]",3
170,0.00146484375,15.0,"[0, 0, 1, 1, 0, 1, 0, 0]",3
177,0.0009765625,15.0,"[1, 0, 1, 1, 0, 0, 0, 0]",2
186,0.0009765625,15.0,"[1, 0, 0, 0, 1, 0, 0, 1]",2
211,0.00048828125,15.0,"[0, 0, 1, 0, 0, 1, 1, 0]",1
204,0.00048828125,15.0,"[1, 0, 1, 0, 0, 1, 0, 0]",1
194,0.00048828125,15.0,"[1, 0, 1, 0, 0, 0, 1, 0]",1
113,0.00341796875,15.0,"[1, 0, 0, 0, 1, 0, 1, 0]",7
66,0.005859375,15.0,"[1, 1, 0, 1, 0, 0, 0, 0]",12
165,0.00146484375,15.0,"[1, 0, 1, 0, 0, 0, 0, 1]",3
104,0.00390625,15.0,"[1, 1, 0, 0, 0, 0, 1, 0]",8
37,0.0078125,15.0,"[0, 1, 0, 0, 0, 1, 1, 0]",16
42,0.00732421875,15.0,"[0, 1, 0, 1, 0, 1, 0, 0]",15
124,0.0029296875,15.0,"[1, 0, 0, 1, 1, 0, 0, 0]",6
90,0.00439453125,15.0,"[0, 0, 0, 1, 0, 1, 1, 0]",9
210,0.00048828125,16.0,"[1, 0, 0, 0, 0, 0, 0, 1]",1
172,0.00146484375,16.0,"[0, 0, 1, 0, 1, 1, 0, 1]",3
203,0.00048828125,16.0,"[0, 1, 1, 0, 1, 0, 1, 0]",1
146,0.00244140625,17.0,"[1, 0, 0, 0, 1, 1, 0, 0]",5
180,0.0009765625,17.0,"[0, 0, 0, 1, 1, 0, 0, 1]",2
219,0.00048828125,17.0,"[0, 1, 0, 0, 1, 0, 0, 1]",1
212,0.00048828125,17.0,"[1, 1, 0, 0, 1, 0, 0, 0]",1
93,0.00439453125,17.0,"[0, 1, 0, 1, 0, 0, 1, 0]",9
191,0.0009765625,17.0,"[0, 0, 0, 1, 1, 0, 1, 0]",2
201,0.00048828125,18.0,"[0, 0, 0, 1, 0, 0, 0, 1]",1
168,0.00146484375,18.0,"[0, 1, 0, 0, 0, 0, 0, 1]",3
213,0.00048828125,18.0,"[1, 0, 0, 0, 0, 0, 1, 0]",1
149,0.001953125,18.0,"[1, 0, 0, 1, 0, 0, 0, 0]",4
198,0.00048828125,18.0,"[0, 0, 0, 0, 0, 1, 0, 1]",1
209,0.00048828125,19.0,"[0, 1, 1, 0, 0, 0, 1, 0]",1
